-2.97              0
-2.91              0
-2.85              0
-2.79              0
-2.73              0
-2.67              0
-2.61              0
-2.55              0
-2.49          0.001
-2.43              0
-2.37    0.000666667
-2.31     0.00266667
-2.25    0.000666667
-2.19          0.001
-2.13          0.007
-2.07     0.00433333
-2.01      0.0166667
-1.95      0.0156667
-1.89      0.0153333
-1.83          0.022
-1.77      0.0283333
-1.71      0.0436667
-1.65          0.052
-1.59          0.076
-1.53       0.110333
-1.47          0.114
-1.41          0.157
-1.35       0.187333
-1.29           0.22
-1.23          0.253
-1.17       0.277333
-1.11          0.296
-1.05          0.345
-0.99          0.354
-0.93       0.405667
-0.87       0.413667
-0.81       0.396667
-0.75          0.409
-0.69          0.386
-0.63       0.442667
-0.57       0.380667
-0.51       0.370333
-0.45          0.367
-0.39       0.313667
-0.33       0.346667
-0.27       0.339667
-0.21       0.271333
-0.15       0.309667
-0.09       0.285333
-0.03          0.267
0.03       0.294333
0.09       0.276333
0.15           0.33
0.21       0.331667
0.27       0.355667
0.33           0.32
0.39       0.373333
0.45          0.392
0.51       0.394667
0.57       0.385333
0.63          0.438
0.69          0.392
0.75       0.377667
0.81       0.415667
0.87       0.370667
0.93          0.385
0.99       0.337333
1.05          0.343
1.11       0.297667
1.17       0.265667
1.23          0.243
1.29       0.208667
1.35          0.182
1.41          0.147
1.47       0.101333
1.53       0.102333
1.59          0.081
1.65      0.0513333
1.71      0.0523333
1.77      0.0386667
1.83      0.0263333
1.89      0.0146667
1.95     0.00933333
2.01      0.0106667
2.07     0.00266667
2.13          0.005
2.19          0.004
2.25          0.003
2.31    0.000666667
2.37    0.000666667
2.43              0
2.49              0
2.55              0
2.61              0
2.67              0
2.73              0
2.79              0
2.85              0
2.91              0
2.97              0
