0       -6.70191              0
1       -6.69439     0.00751892
2       -6.69491     0.00437132
3       -6.69399     0.00322406
4       -6.69511     0.00273693
5       -6.69568     0.00230692
6       -6.69553     0.00195579
7        -6.6956     0.00169523
8       -6.69522     0.00154269
9        -6.6951     0.00138518
10       -6.69441     0.00142648
11       -6.69499     0.00142185
12       -6.69474     0.00133063
13       -6.69488     0.00123928
14        -6.6941     0.00139249
15        -6.6943     0.00131779
16       -6.69463     0.00128204
17       -6.69468     0.00120997
18       -6.69403     0.00131974
19       -6.69407     0.00125279
20       -6.69435     0.00122494
21       -6.69429     0.00116985
22       -6.69407     0.00113926
23       -6.69437     0.00113117
24       -6.69465     0.00112008
25       -6.69481     0.00108878
26       -6.69449     0.00109601
27       -6.69478     0.00109533
28       -6.69458     0.00107636
29        -6.6945      0.0010423
30       -6.69463       0.001016
31       -6.69475    0.000991417
32       -6.69494    0.000978687
33       -6.69467    0.000986622
34         -6.695      0.0010123
35       -6.69484    0.000996379
36       -6.69444     0.00104918
37       -6.69468     0.00104926
38       -6.69466     0.00102224
39       -6.69454     0.00100348
40       -6.69453    0.000978754
41       -6.69478    0.000988432
42        -6.6947    0.000968394
43        -6.6946    0.000952073
44       -6.69479    0.000951084
45       -6.69473    0.000932531
46       -6.69471    0.000912587
47       -6.69499    0.000936663
48       -6.69503    0.000917892
49       -6.69504    0.000899516
